"","MatchID","TeamID","OriginPlayerID","DestinationPlayerID","MatchPeriod","EventTime","EventType","EventSubType","EventOrigin_x","EventOrigin_y","EventDestination_x","EventDestination_y","index2"
"1",1,"Huskies","Huskies_D1","Huskies_F2","1H",429.550573,"Pass","Simple pass",32,85,59,67,16
"2",1,"Huskies","Huskies_D2","Huskies_D3","1H",499.177369,"Pass","Simple pass",43,46,44,13,10
"3",1,"Huskies","Huskies_D3","Huskies_D4","1H",681.346038,"Pass","Simple pass",42,22,45,7,15
"4",1,"Huskies","Huskies_F2","Huskies_M1","1H",1318.781728,"Pass","Simple pass",54,92,61,79,9
"5",1,"Huskies","Huskies_M2","Huskies_M3","1H",1365.514369,"Pass","Simple pass",65,22,59,37,10
"6",1,"Huskies","Huskies_D1","Huskies_D4","1H",1384.757142,"Pass","Cross",89,96,98,3,8
"7",1,"Huskies","Huskies_F2","Huskies_D3","1H",1598.02757,"Pass","Simple pass",48,26,66,7,11
"8",1,"Huskies","Huskies_M2","Huskies_D4","1H",1688.522032,"Pass","Simple pass",57,13,50,6,11
"9",1,"Huskies","Huskies_D2","Huskies_D1","1H",1841.354526,"Pass","Simple pass",24,66,29,87,8
"10",1,"Huskies","Huskies_D3","Huskies_M1","1H",1880.031284,"Pass","Simple pass",46,15,52,50,11
"11",1,"Huskies","Huskies_F3","Huskies_F2","1H",2276.34669,"Pass","Simple pass",79,78,84,77,9
"12",1,"Huskies","Huskies_D4","Huskies_M2","2H",618.09998,"Pass","Simple pass",97,17,86,30,8
"13",1,"Huskies","Huskies_M3","Huskies_D3","2H",1092.507219,"Pass","Simple pass",45,60,33,24,17
"14",2,"Huskies","Huskies_D3","Huskies_F2","2H",866.990797,"Pass","High pass",26,17,93,88,9
"15",3,"Huskies","Huskies_D1","Huskies_D6","1H",430.360526,"Pass","Simple pass",47,73,58,88,12
"16",3,"Huskies","Huskies_D6","Huskies_G1","1H",892.146116,"Pass","Simple pass",47,91,10,70,11
"17",3,"Huskies","Huskies_D1","Huskies_F2","1H",953.633802,"Pass","Simple pass",29,69,62,66,13
"18",3,"Huskies","Huskies_D1","Huskies_G1","1H",993.825562,"Pass","Simple pass",24,75,8,32,8
